ИНН,Короткое название,Статус,Система налогообложения,Дата последней отчетности
1215129574,"ООО ""ДВА СЕРДЦА""","Юридическое лицо ликвидировано 3 июля 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2019.0
1327007912,"ООО ""ЮВЕНТА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1326253658,"ООО ТД ""ТРЕЙДЕР""","Юридическое лицо ликвидировано 11 июня 2025 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
1326248369,"ООО ""ДОМ-УПРАВЛЕНИЯ  №23""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1326207267,"ООО ""МД""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1402017430,"ООО ""АРСК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1402019204,"ООО ""ССИ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2020.0
1434035424,"ООО ""ТС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,2022.0
1434022760,"ООО ""КАРЕЛИЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
1434053247,"ООО ""ЗОЛОТИНКА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1434049272,"ООО ""СТРОЙ ПРОЕКТ 14""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1435134114,"ООО ""СИГНУМ""","Юридическое лицо ликвидировано 3 июля 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1435317742,"ООО СТК ""АЛААС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1435145606,"ООО ""ИК ""САХАИНЖСТРОЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1435326970,"ООО ""АСТОН""","Юридическое лицо ликвидировано 11 октября 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2019.0
1435200462,"ООО ""САХАСТРОЙМОНТАЖ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1435353839,"ООО ""СПЕЦВОДСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1435275066,"ООО ДТК ""АЛМАЗ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1435314420,"ООО ""ЭКСПЕРТ-78""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
1435331151,"ООО СИК ""НОРД""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1407008541,"ООО ""ИНФИНИТИ ГРУПП""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
1511028223,"ООО ""ЮГ-СТРОЙ""","Юридическое лицо ликвидировано 30 июня 2025 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2021.0
1513047528,"ООО ""КОМФОРТ ЖКУ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1513071136,"ООО ""ВЕСНА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
150301687367,,,,
1513048955,"ООО ""ВЛАДИКАВКАЗСКИЙ ЗАВОД АЛКОГОЛЬНЫХ НАПИТКОВ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2017.0
7720706508,"ООО ""ПРОМФОРМАТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1225001260,"МЕСТНАЯ МУСУЛЬМАНСКАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""МАХАЛЛЯ №2736"" П. КРАСНЫЙ СТЕКЛОВАР МОРКИНСКОГО РАЙОНА РЕСПУБЛИКИ МАРИЙ ЭЛ",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1651087525,"ООО ""ПСК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1651091000,"ООО ""ГРИН ТЕРРА НК""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,
1660336834,"ООО ""ХОНТЕР""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1660238594,"ООО ""БИССАН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1660342884,"ООО ""ЭКОПЛАСТИК ПЛЮС""","Юридическое лицо ликвидировано 3 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1651066250,"ООО ""ЭНЕРГОАУДИТ-НК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1659199527,"ООО ""СК ""КСИ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1658211267,"ООО СК ""ЗИЛАНТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1660350500,"ООО ""ХОЛДИНГ ""АЙКЬЮ ТЕХНОЛОГИИ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1616007492,"ООО ""НУР-1""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
1644034498,"ООО ""УКЖД ""НОВАЦИЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1650334281,"ООО ""НЕФТЕХИМСИНТЕЗ""","Юридическое лицо ликвидировано 27 июня 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1619006747,"ООО ""ТАН""",,,
1657257406,"ООО ""ЭЛИТА""","Юридическое лицо ликвидировано 7 февраля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1655456886,"ООО СК ""СТРОЙИНДУСТРИЯ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1652025923,"ООО ""АРТСИТИ""","Юридическое лицо ликвидировано 3 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1660253507,"ООО ""АСЛ ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1660284030,"ООО ""ГРАНИТ-СТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1648033819,"ТСЖ ""СЕВЕРНАЯ 5""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1656097069,"ООО ""АПЛИНК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1657254927,"ООО ""СТРОЙ К""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1635009872,"ООО ""ХАН-АВТО""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
8602072832,"ООО ""ЭРЕЛЬ ГАЗСТРОЙ""","Юридическое лицо ликвидировано 6 сентября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2018.0
1661066549,"ООО ""МХС ГРУПП""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1660315016,"ООО АС ""ВЕК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1657230852,"ООО ""СК ""МДС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1657133834,"ООО ""ПКФ СТРОЙГРАД""",,,
1658199309,"ООО ""ГЕЛИОС-СТРОЙ""","Юридическое лицо ликвидировано 18 ноября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1657046331,"ТСН ""МЕРИДИАН""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1655046103,"ООО ""СФ ""КВАДРАТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1657137349,"ООО ""МОНОЛИТСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1650394153,"ООО ""ЮДФ-ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1650244091,"ООО ""ОМЕГА-ТРАНС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1650271352,"ООО ""МЕГАСЕРВИСПРО""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1650273230,"ООО ""МАТРЕШКА ФЭШН СИТИ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1655284411,"ООО ""СК ""ОПТИМАСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1655373319,"ООО ""МУЛЬТИСВЕТ-М""","Юридическое лицо ликвидировано 28 марта 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1658138401,"ООО ""ВЕК ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1657190977,"ООО ""ГИДРОИНТЕХ ПЛЮС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1653017450,ТАТАРСТАНСКОЕ ОТДЕЛЕНИЕ СОЮЗА ДИЗАЙНЕРОВ РОССИИ,Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1655373252,"ООО ""СПЕЦ МОНТАЖ ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1655347020,"ООО ""ВЕНЕЦИЯ-КАЗАНЬ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2019.0
1655459710,"ООО ""МИП ""АНТАР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1655267818,"ООО ""ПГЭП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1657263390,"ООО ""ПРОФИТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1658201438,"ООО ""СЕТЬ СОВРЕМЕННЫХ РЕСТОРАНОВ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2019.0
1658134478,"ООО ""ФОРТУНА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1659132138,"ООО ""РОНКО""","Юридическое лицо ликвидировано 26 марта 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2023.0
1658222357,"ООО СК ""ТИАН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1660308788,"ООО ""РС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1616034143,"ООО ""АЛПАМЫШ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
164403795703,,,,
1646033806,"ООО ""НЗМК""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
5029998905,"СРО СОЮЗ ""АУ ""ПРАВОСОЗНАНИЕ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1648026280,"ООО ""ЖИЛИЩНАЯ КОМПАНИЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
1684001139,"ООО ""АЙРОНБУЛЛ ФИТНЕС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1650311245,"ООО ТФ ""ТЕХСНАБ""","Юридическое лицо ликвидировано 26 декабря 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2020.0
1713002764,"ООО ""ВОДОПРОВОДНО-КАНАЛИЗАЦИОННЫЕ СЕТИ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1841092192,"ООО ГК ""ЭТАЛОН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1840078639,"ООО ""ИЖСЕЛЬМАШ""","Юридическое лицо ликвидировано 4 июня 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2023.0
1840082378,"ООО ""ЛИГОВЪ""","Юридическое лицо ликвидировано 8 мая 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2020.0
1831171783,"ООО ""ОБЩЕПИТ-СЕРВИС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2017.0
1840001594,"ООО ""ТД ""ТЕХПРОМ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1831193730,"ООО ""СОВРЕМЕННЫЕ СПОРТИВНЫЕ ПОКРЫТИЯ""","Юридическое лицо ликвидировано 28 октября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1832101122,"ООО СК ""ВОСТОК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1831193561,"ООО ""МИТ-ТОРГ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
5933010655,"ООО ""УНИВЕРСАЛДОРСТРОЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1840085587,"ООО ""РНР""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1840045513,"ООО ""ЮТЭКОЙЛ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
5933011000,"ООО ""УРАЛЬСКИЕ МОТОРЫ""","Юридическое лицо ликвидировано 14 мая 2025 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2022.0
1840072852,"ООО ""НБ МЕД""","Юридическое лицо ликвидировано 6 марта 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2018.0
1840090731,"ООО ""СПЕЦКОМПЛЕКТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1831085559,"ООО ""ЗЕБРА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1903029274,"ООО ""ДОВЕРИЕ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1902028334,"ООО СЗ ""ТАСХЫЛ""",,,
2014257803,"ООО ""ГРАНД""",Юридическим лицом принято решение об изменении места нахождения,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
2016006315,"ООО ""ЭЛЬ ФАЛЛАХ ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2109002634,"СССПК ""ТУСАЙ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
2119006324,"ООО ""ЭКО-МОЛЛ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
2124040264,"ООО ""ПРОЕКТИФ""","Юридическое лицо ликвидировано 24 марта 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
2124048030,"ООО ""НОВАЯ ЭРА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2130170470,"ООО ""ПЛАСТКОМПЛЕКТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
2130171794,"ООО ""КОМФОРТ ПЛЮС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
2100000181,"ООО ""СТРОЙМОНТАЖ-Н""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
2130182860,"ООО ""ГК ""СТМ""","Юридическое лицо ликвидировано 10 июня 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2021.0
2127304300,"ООО ""МФК ""ЗЕЛЕНАЯ ПЛОЩАДКА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2018.0
2130056897,"ООО ""ЛИВ МАШИНЕРИ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
