number,summa,creditor_inn,debtor_inn,group_summa,Полное название,Вероятность стоп-листа,Объяснение ИИ,Телефоны,Электронные почты,Веб сайты,Название должника,Статус должника,Дата отчетности должника
201091/24/78023-ИП,931873.89,7841322249,7816736750,2961175.76,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",35,"Учредитель из стоп-листа (ИНТЕР РАО ЕЭС) +10%, выручка >45 млрд руб. +15%, деятельность в энергетике +10%.","['+7 812 303-69-69', '+7 813 644-99-18', '+7 812 303-97-03']","['a-vsev@pesc.ru', 'a-luvs@pesc.ru', 'office@pesc.ru']","[{'name': 'pesc.ru', 'url': 'http://pesc.ru'}]","АО ""САЛОЛИН""",Действующая компания,2024.0
132137/24/78023-ИП,202777.18,7841322249,7816736750,2961175.76,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",35,"Учредитель из стоп-листа (ИНТЕР РАО ЕЭС) +10%, выручка >45 млрд руб. +15%, деятельность в энергетике +10%.","['+7 812 303-69-69', '+7 813 644-99-18', '+7 812 303-97-03']","['a-vsev@pesc.ru', 'a-luvs@pesc.ru', 'office@pesc.ru']","[{'name': 'pesc.ru', 'url': 'http://pesc.ru'}]","АО ""САЛОЛИН""",Действующая компания,2024.0
205856/24/78023-ИП,1153078.04,7841322249,7816736750,2961175.76,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",35,"Учредитель из стоп-листа (ИНТЕР РАО ЕЭС) +10%, выручка >45 млрд руб. +15%, деятельность в энергетике +10%.","['+7 812 303-69-69', '+7 813 644-99-18', '+7 812 303-97-03']","['a-vsev@pesc.ru', 'a-luvs@pesc.ru', 'office@pesc.ru']","[{'name': 'pesc.ru', 'url': 'http://pesc.ru'}]","АО ""САЛОЛИН""",Действующая компания,2024.0
101171/23/47029-ИП,1772511.06,7841322249,4710028294,2801394.67,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",35,"Учредитель из стоп-листа (ИНТЕР РАО ЕЭС) +10%, выручка >45 млрд руб. +15%, деятельность в энергетике +10%.","['+7 812 303-69-69', '+7 813 644-99-18', '+7 812 303-97-03']","['a-vsev@pesc.ru', 'a-luvs@pesc.ru', 'office@pesc.ru']","[{'name': 'pesc.ru', 'url': 'http://pesc.ru'}]","ДНП ""ВРЕВСКОЕ""",Действующая организация,2021.0
101181/23/47029-ИП,176965.9,7841322249,4710028294,2801394.67,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",35,"Учредитель из стоп-листа (ИНТЕР РАО ЕЭС) +10%, выручка >45 млрд руб. +15%, деятельность в энергетике +10%.","['+7 812 303-69-69', '+7 813 644-99-18', '+7 812 303-97-03']","['a-vsev@pesc.ru', 'a-luvs@pesc.ru', 'office@pesc.ru']","[{'name': 'pesc.ru', 'url': 'http://pesc.ru'}]","ДНП ""ВРЕВСКОЕ""",Действующая организация,2021.0
101173/23/47029-ИП,365366.71,7841322249,4710028294,2801394.67,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",35,"Учредитель из стоп-листа (ИНТЕР РАО ЕЭС) +10%, выручка >45 млрд руб. +15%, деятельность в энергетике +10%.","['+7 812 303-69-69', '+7 813 644-99-18', '+7 812 303-97-03']","['a-vsev@pesc.ru', 'a-luvs@pesc.ru', 'office@pesc.ru']","[{'name': 'pesc.ru', 'url': 'http://pesc.ru'}]","ДНП ""ВРЕВСКОЕ""",Действующая организация,2021.0
343618/24/78023-ИП,420357.1,7709346940,7839038953,5493173.63,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЛСР. НЕДВИЖИМОСТЬ-М""",0,"Компания частная, не в санкциях, выручка и госзакупки низкие, деятельность не связана с госучастием.","['+7 495 385-81-32', '+7 499 737-68-14', '+7 495 640-10-30']",['mail@msr.lsrgroup.ru'],"[{'name': 'msr-lsr.ru', 'url': 'http://msr-lsr.ru'}, {'name': 'yanahabino.ru', 'url': 'http://yanahabino.ru'}]","ООО ""ТРИКОН""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),2022.0
343617/24/78023-ИП,1445985.81,7709346940,7839038953,5493173.63,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЛСР. НЕДВИЖИМОСТЬ-М""",0,"Компания частная, не в санкциях, выручка и госзакупки низкие, деятельность не связана с госучастием.","['+7 495 385-81-32', '+7 499 737-68-14', '+7 495 640-10-30']",['mail@msr.lsrgroup.ru'],"[{'name': 'msr-lsr.ru', 'url': 'http://msr-lsr.ru'}, {'name': 'yanahabino.ru', 'url': 'http://yanahabino.ru'}]","ООО ""ТРИКОН""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),2022.0
343615/24/78023-ИП,392857.11,7709346940,7839038953,5493173.63,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЛСР. НЕДВИЖИМОСТЬ-М""",0,"Компания частная, не в санкциях, выручка и госзакупки низкие, деятельность не связана с госучастием.","['+7 495 385-81-32', '+7 499 737-68-14', '+7 495 640-10-30']",['mail@msr.lsrgroup.ru'],"[{'name': 'msr-lsr.ru', 'url': 'http://msr-lsr.ru'}, {'name': 'yanahabino.ru', 'url': 'http://yanahabino.ru'}]","ООО ""ТРИКОН""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),2022.0
184284/22/23039-ИП,1534936.74,7703564677,2311300681,6270637.77,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРИ""",10,Иностранная форма собственности.,"['+7 800 551-52-21', '+7 495 185-08-38', '+7 495 642-81-13']","['market@peri.ru', 'moscow@peri.ru']","[{'name': 'shop.peri.ru', 'url': 'http://shop.peri.ru'}]","ООО ""МОНОЛИТ СВМ""","Юридическое лицо ликвидировано 27 декабря 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",2021.0
184273/22/23039-ИП,1085834.4,7703564677,2311300681,6270637.77,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРИ""",10,Иностранная форма собственности.,"['+7 800 551-52-21', '+7 495 185-08-38', '+7 495 642-81-13']","['market@peri.ru', 'moscow@peri.ru']","[{'name': 'shop.peri.ru', 'url': 'http://shop.peri.ru'}]","ООО ""МОНОЛИТ СВМ""","Юридическое лицо ликвидировано 27 декабря 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",2021.0
172969/22/23039-ИП,1553599.44,7703564677,2311300681,6270637.77,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРИ""",10,Иностранная форма собственности.,"['+7 800 551-52-21', '+7 495 185-08-38', '+7 495 642-81-13']","['market@peri.ru', 'moscow@peri.ru']","[{'name': 'shop.peri.ru', 'url': 'http://shop.peri.ru'}]","ООО ""МОНОЛИТ СВМ""","Юридическое лицо ликвидировано 27 декабря 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",2021.0
18208/22/23039-ИП,2096267.19,7703564677,2311300681,6270637.77,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРИ""",10,Иностранная форма собственности.,"['+7 800 551-52-21', '+7 495 185-08-38', '+7 495 642-81-13']","['market@peri.ru', 'moscow@peri.ru']","[{'name': 'shop.peri.ru', 'url': 'http://shop.peri.ru'}]","ООО ""МОНОЛИТ СВМ""","Юридическое лицо ликвидировано 27 декабря 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",2021.0
64901/23/10024-ИП,1316178.0,7703424091,1001346892,2632356.0,ФОНД ПРЕЗИДЕНТСКИХ ГРАНТОВ,15,"Входит в санкционные списки Украины +10%, частная собственность +5%. Остальные критерии не применимы.",['+7 495 150-42-22'],['office@pgrants.ru'],"[{'name': 'президентскиегранты.рф', 'url': 'http://президентскиегранты.рф'}]","АНО ""БЛАГОДАТЬ""",Действующая организация,2021.0
58892/24/10024-ИП,1316178.0,7703424091,1001346892,2632356.0,ФОНД ПРЕЗИДЕНТСКИХ ГРАНТОВ,15,"Входит в санкционные списки Украины +10%, частная собственность +5%. Остальные критерии не применимы.",['+7 495 150-42-22'],['office@pgrants.ru'],"[{'name': 'президентскиегранты.рф', 'url': 'http://президентскиегранты.рф'}]","АНО ""БЛАГОДАТЬ""",Действующая организация,2021.0
195443/24/37004-ИП,943819.71,7702073683,3702163072,3509297.85,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗЕТТА СТРАХОВАНИЕ""",10,Иностранная форма собственности +10%. Остальные критерии не соответствуют.,"['+7 495 232-33-33', '+7 495 727-07-07', '+7 812 418-08-40']","['tender@zettains.ru', 'az.info@zettains.ru', 'kirill.afanasev@zettains.ru']","[{'name': 'allianz.ru', 'url': 'http://allianz.ru'}]","ООО ""СОЮЗ ДК""",Действующая компания,2020.0
309323/24/82005-ИП,246975.23,9102070194,9109007480,4179372.6,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМТЕПЛОЭЛЕКТРОЦЕНТРАЛЬ""",25,"Санкции +10%, энергетика +10%, выручка <45 млрд, частная собственность, нет госзакупок, директор не иностранец.","['+7 365 255-34-79', '+7 365 255-34-59', '+7 978 838-35-92']","['office@krimtec.ru', 'abonsl@krimtec.ru', 'teplo_snabj_saki@mail.ru']","[{'name': 'krimtec.ru', 'url': 'http://krimtec.ru'}]","ООО ""КТЭМ 2004""",Действующая компания,2021.0
309326/24/82005-ИП,1920115.07,9102070194,9109007480,4179372.6,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМТЕПЛОЭЛЕКТРОЦЕНТРАЛЬ""",25,"Санкции +10%, энергетика +10%, выручка <45 млрд, частная собственность, нет госзакупок, директор не иностранец.","['+7 365 255-34-79', '+7 365 255-34-59', '+7 978 838-35-92']","['office@krimtec.ru', 'abonsl@krimtec.ru', 'teplo_snabj_saki@mail.ru']","[{'name': 'krimtec.ru', 'url': 'http://krimtec.ru'}]","ООО ""КТЭМ 2004""",Действующая компания,2021.0
309328/24/82005-ИП,258199.62,9102070194,9109007480,4179372.6,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМТЕПЛОЭЛЕКТРОЦЕНТРАЛЬ""",25,"Санкции +10%, энергетика +10%, выручка <45 млрд, частная собственность, нет госзакупок, директор не иностранец.","['+7 365 255-34-79', '+7 365 255-34-59', '+7 978 838-35-92']","['office@krimtec.ru', 'abonsl@krimtec.ru', 'teplo_snabj_saki@mail.ru']","[{'name': 'krimtec.ru', 'url': 'http://krimtec.ru'}]","ООО ""КТЭМ 2004""",Действующая компания,2021.0
309329/24/82005-ИП,808494.94,9102070194,9109007480,4179372.6,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМТЕПЛОЭЛЕКТРОЦЕНТРАЛЬ""",25,"Санкции +10%, энергетика +10%, выручка <45 млрд, частная собственность, нет госзакупок, директор не иностранец.","['+7 365 255-34-79', '+7 365 255-34-59', '+7 978 838-35-92']","['office@krimtec.ru', 'abonsl@krimtec.ru', 'teplo_snabj_saki@mail.ru']","[{'name': 'krimtec.ru', 'url': 'http://krimtec.ru'}]","ООО ""КТЭМ 2004""",Действующая компания,2021.0
129277/24/21005-ИП,920595.37,9705082489,2130215956,2766143.46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕБОКСАРСКИЙ ИНСТРУМЕНТАЛЬНО-МЕХАНИЧЕСКИЙ ЗАВОД ""ЕВРОСТАР""",0,Не соответствует ни одному критерию из стоп-листа.,['+7 835 223-31-11'],['aes@skb21.com'],[],"ООО ""РЕЗОТЕХ""",Действующая компания,2020.0
129275/24/21005-ИП,1845548.09,9705082489,2130215956,2766143.46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕБОКСАРСКИЙ ИНСТРУМЕНТАЛЬНО-МЕХАНИЧЕСКИЙ ЗАВОД ""ЕВРОСТАР""",0,Не соответствует ни одному критерию из стоп-листа.,['+7 835 223-31-11'],['aes@skb21.com'],[],"ООО ""РЕЗОТЕХ""",Действующая компания,2020.0
211691/24/76017-ИП,28879.46,7606052264,7622013738,3026543.8600000003,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ДНТ ""ПЕРЕСЛАВСКАЯ БЛАГОДАТЬ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),2022.0
211694/24/76017-ИП,24549.65,7606052264,7622013738,3026543.8600000003,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ДНТ ""ПЕРЕСЛАВСКАЯ БЛАГОДАТЬ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),2022.0
211698/24/76017-ИП,219635.65,7606052264,7622013738,3026543.8600000003,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ДНТ ""ПЕРЕСЛАВСКАЯ БЛАГОДАТЬ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),2022.0
226965/23/76001-ИП,120119.18,7606052264,7602136812,5202249.749999999,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ООО ""КТС""",Действующая компания,2021.0
227023/23/76001-ИП,64184.16,7606052264,7602136812,5202249.749999999,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ООО ""КТС""",Действующая компания,2021.0
227054/23/76001-ИП,321992.64,7606052264,7602136812,5202249.749999999,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ООО ""КТС""",Действующая компания,2021.0
227201/23/76001-ИП,507709.43,7606052264,7602136812,5202249.749999999,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ООО ""КТС""",Действующая компания,2021.0
227203/23/76001-ИП,129121.03,7606052264,7602136812,5202249.749999999,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ООО ""КТС""",Действующая компания,2021.0
211244/23/76001-ИП,93861.06,7606052264,7602136812,5202249.749999999,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ООО ""КТС""",Действующая компания,2021.0
223962/23/76001-ИП,175777.08,7606052264,7602136812,5202249.749999999,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""",40,"Госзакупки >30 млрд (10%), выручка <45 млрд (0%), нет санкций (0%), частная собственность (0%), деятельность не из стоп-листа (0%).","['+7 485 222-21-71', '+7 485 259-07-52', '+7 485 278-19-09']","['engsbyt@yar.tns-e.ru', 'engsbyt@yar.tns.ru', 'ryou@yar.tns-e.ru']","[{'name': 'yar.tns-e.ru/population', 'url': 'http://yar.tns-e.ru/population'}, {'name': 'yrsk.ru', 'url': 'http://yrsk.ru'}]","ООО ""КТС""",Действующая компания,2021.0
195439/24/37004-ИП,1473575.85,7702073683,3702163072,3509297.85,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗЕТТА СТРАХОВАНИЕ""",10,Иностранная форма собственности +10%. Остальные критерии не соответствуют.,"['+7 495 232-33-33', '+7 495 727-07-07', '+7 812 418-08-40']","['tender@zettains.ru', 'az.info@zettains.ru', 'kirill.afanasev@zettains.ru']","[{'name': 'allianz.ru', 'url': 'http://allianz.ru'}]","ООО ""СОЮЗ ДК""",Действующая компания,2020.0
195438/24/37004-ИП,1091902.29,7702073683,3702163072,3509297.85,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗЕТТА СТРАХОВАНИЕ""",10,Иностранная форма собственности +10%. Остальные критерии не соответствуют.,"['+7 495 232-33-33', '+7 495 727-07-07', '+7 812 418-08-40']","['tender@zettains.ru', 'az.info@zettains.ru', 'kirill.afanasev@zettains.ru']","[{'name': 'allianz.ru', 'url': 'http://allianz.ru'}]","ООО ""СОЮЗ ДК""",Действующая компания,2020.0
