number,summa,creditor_inn,debtor_inn,group_summa
270456/23/02003-ИП,3305035.6,275038496,274135465,
285536/23/02003-ИП,2653676.16,275038496,274135465,
77361/21/02003-ИП,2547430.01,278992157,274089219,
359621/23/02003-ИП,5480876.15,277072661,274184590,
364518/23/02003-ИП,2891759.3,275038496,274135465,
364558/23/02003-ИП,4386283.07,275038496,274135465,
271078/21/02003-ИП,2675262.21,277121421,274089219,
232825/22/02003-ИП,4289382.35,274045532,278143178,
213726/22/02003-ИП,3617358.73,273929345,274956447,
176531/22/02003-ИП,6049536.63,276981449,274070095,
144518/24/02003-ИП,2879145.0,274144861,274917215,
228423/23/02003-ИП,2964982.0,278170037,274937980,
169224/23/02003-ИП,2637491.26,275000238,274912200,
169223/23/02003-ИП,4270397.58,275000238,274912200,
84475/23/02023-ИП,2717427.75,7702080289,253017439,
168880/23/02023-ИП,2548215.21,253007335,264080143,
254382/23/02023-ИП,3361795.0,6674354864,264074157,
89742/23/02024-ИП,9495221.25,268004714,268033401,
689248/23/02024-ИП,3388981.88,277072661,268040007,
689277/23/02024-ИП,3778753.38,277072661,268040007,
689283/23/02024-ИП,4613776.42,277072661,268040007,
689540/23/02024-ИП,8373369.73,277072661,268040007,
60516/24/02024-ИП,6301296.64,5610211668,268091770,
411707/22/02024-ИП,8496130.82,268004714,268046457,
1309/23/02005-ИП,4411168.0,255015733,276923574,
370502/23/02005-ИП,2718079.82,277072661,276919627,
382834/22/02005-ИП,2506318.86,7726350181,276918158,
23596/23/02005-ИП,15359779.75,258952156,276953836,
107262/24/02005-ИП,5887037.92,7722830317,245025130,
8873/23/02005-ИП,6003206.69,275038496,276919659,
8842/23/02005-ИП,2800911.24,276981449,278932165,
38584/23/02005-ИП,2507203.67,7447211759,276918158,
35921/23/02005-ИП,4383419.52,275038496,274146241,
298386/23/02005-ИП,3166224.45,273094431,245025130,
43828/24/02005-ИП,2624066.32,274022366,245025130,
14715/24/02005-ИП,6762164.36,7735573025,245025130,
368276/23/02005-ИП,4761897.29,276981449,278213636,
50490/24/02005-ИП,7174512.41,278209728,276963665,
315219/24/02005-ИП,6354664.46,9705101614,276958337,
59870/24/02005-ИП,43125139.25,5015009037,274916564,
351214/23/02005-ИП,6004094.0,7453069130,274961398,
164781/24/02005-ИП,3656664.24,7727406020,277065576,
323577/23/02005-ИП,4729605.45,278124591,276112093,
33170/24/02005-ИП,9967194.05,7804526950,274168220,
241518/23/02005-ИП,3430912.88,275038496,274146241,
250422/23/02005-ИП,3738839.43,7722457832,245025130,
251204/23/02005-ИП,3243129.4,275038496,274146241,
62317/19/02005-ИП,2946964.67,275000238,276919627,
149185/19/02005-ИП,2627856.23,275000238,276919659,
148162/19/02005-ИП,3944089.97,275000238,276919627,
189617/19/02005-ИП,5825828.36,277072661,276919627,
237754/19/02005-ИП,3673287.84,277072661,276919610,
214970/19/02005-ИП,2543550.28,275000238,276919627,
30479/20/02005-ИП,2890910.59,275000238,276919659,
25044/20/02005-ИП,2724874.67,275038496,276919610,
22790/20/02005-ИП,5104232.89,275000238,276919610,
138026/20/02005-ИП,7192035.22,277072661,276919659,
57671/21/02005-ИП,6286938.46,277072661,276919627,
57669/21/02005-ИП,3001542.65,277072661,276919610,
270728/23/02005-ИП,3746031.16,274051582,273093572,
214520/21/02005-ИП,5173981.35,275038496,276919610,
258295/24/02005-ИП,14432596.16,274051582,273093572,
145799/22/02005-ИП,4167462.75,274946400,276099861,
56841/22/02005-ИП,13486598.44,277072661,276919659,
158677/22/02005-ИП,5980006.44,275038496,276919627,
321855/22/02005-ИП,3819884.71,275044411,276901852,
274930/24/02005-ИП,3814767.19,6670415523,220025547,
199806/23/02005-ИП,20140565.95,274075230,274146241,
232598/22/02005-ИП,2605499.74,277072661,276919627,
242174/23/02005-ИП,8825998.41,7744000912,278923650,
243348/23/02005-ИП,3799270.56,274927735,276926328,
144009/22/02005-ИП,3464948.9,7744000912,276929008,
181339/24/02005-ИП,2932393.93,276138599,224012796,
105202/24/02005-ИП,2556742.07,1650006259,276092048,
31249/24/02015-ИП,2536202.79,278030985,255013119,
1711/24/02015-ИП,4591898.38,255012740,255013870,
228159/23/02025-ИП,6566470.7,269001900,269999082,
253241/24/02025-ИП,12970965.36,4401116480,269042448,
21354/24/02016-ИП,2817770.44,260002088,256014443,
145306/23/02016-ИП,3307326.28,276981449,256997761,
177059/23/02019-ИП,4974535.55,7708022300,259013007,
177056/23/02019-ИП,4974535.55,7708022300,259013014,
139561/24/02012-ИП,15065432.43,277072661,266043524,
193057/23/02012-ИП,26495071.96,277133219,266057904,
201234/24/02012-ИП,5574893.3,7750004150,266046677,
190253/22/02012-ИП,12900392.14,277133219,266057904,
123747/23/02012-ИП,5606321.71,266034336,266050352,
48039/24/02013-ИП,2805121.03,7802131219,267024612,
286448/22/02006-ИП,8067082.49,5036074848,277946944,
27101/23/02006-ИП,5238359.93,224954268,277088164,
66275/24/02006-ИП,3412931.51,7448192682,276935210,
132154/24/02006-ИП,3096254.12,245970038,277115146,
61848/24/02006-ИП,5352324.04,7707800815,277943220,
119782/23/02006-ИП,4729204.34,7805360880,273904125,
12192/24/02006-ИП,4208067.61,6312090949,273901822,
79761/24/02006-ИП,5693693.63,6312090949,273901822,
215464/23/02006-ИП,4840311.85,7729003482,6619012933,
179936/23/02006-ИП,14496974.38,5053005918,276911730,
265733/23/02006-ИП,3032235.28,245963577,277943943,
29689/24/02006-ИП,2917000.0,277920209,277922238,
180621/24/02006-ИП,4241174.24,268044019,277949230,
183941/22/02006-ИП,3830639.99,277919122,274159032,
304586/24/02006-ИП,4562912.0,5902198460,274159032,
72652/23/02006-ИП,2922797.18,7802186169,277943943,
208652/23/02006-ИП,3892039.02,8622000931,278048157,
133210/23/02006-ИП,4393884.0,274045532,277107480,
158495/23/02006-ИП,5640358.43,272911426,276158683,
125543/22/02006-ИП,2588215.84,1832121256,274159032,
343225/23/02006-ИП,16565973.57,3666235956,274181221,
98425/19/02007-ИП,2992377.84,245001763,274144928,
197854/23/02007-ИП,2750315.38,275038496,278101788,
198126/23/02007-ИП,6789087.86,9201528943,276135157,
306075/24/02007-ИП,3043528.18,275038496,278188620,
364505/23/02007-ИП,2874626.46,276158683,278189180,
92097/22/02001-ИП,11253529.44,276033388,272902260,
410010/23/02002-ИП,2819893.65,277072661,273095690,
33345/24/02002-ИП,27901519.03,275038496,273042850,
61848/24/02004-ИП,5389593.43,274051857,275078467,
89820/23/02004-ИП,3274818.29,275038496,273054510,
231684/23/02004-ИП,3278129.18,277072661,275919060,
29089/24/02004-ИП,2570140.0,5636021799,274114137,
6065/24/02004-ИП,30663498.07,276016368,278911084,
7271/24/02004-ИП,14387135.03,274144861,275904152,
263463/23/02004-ИП,6245197.95,7744000912,275922578,
55433/20/02004-ИП,3909177.45,273077394,275074550,
3162/21/02004-ИП,3049179.64,275038496,273054510,
33288/21/02004-ИП,9556477.5,275038496,273054510,
112072/24/02004-ИП,20604574.35,5914024356,275906015,
150194/23/02004-ИП,3556457.12,275038496,273054510,
83535/21/02004-ИП,2640486.28,275038496,273054510,
159626/21/02004-ИП,3443801.68,275038496,273054510,
153863/21/02004-ИП,2681824.94,275038496,273054510,
140606/21/02004-ИП,3934730.09,275038496,273054510,
174013/22/02004-ИП,3536786.44,275038496,273054510,
76951/24/02004-ИП,9227773.24,275038496,273054510,
108424/23/02004-ИП,2625720.48,275038496,273054510,
163027/23/02004-ИП,3210070.4,275038496,273054510,
72954/23/02004-ИП,5958576.0,1659189007,274114137,
38131/24/02004-ИП,20000000.0,7704252261,3525277840,
10735/24/02072-ИП,20103102.39,2315078029,268038914,
96162/22/02072-ИП,2741304.46,268083226,242012446,
68189/23/02072-ИП,4296967.15,274144861,268065763,
5551/24/03010-ИП,2909768.07,309407916,309014513,
116587/24/03010-ИП,3461612.22,309408420,309408726,
255942/23/03022-ИП,16990372.16,7536169450,7536165991,
227004/23/03022-ИП,4290473.86,2460069527,323354783,
261631/23/03022-ИП,3174500.0,316201137,323406752,
177883/23/03022-ИП,5180181.39,2460069527,323403215,
177888/23/03022-ИП,7400471.48,2460069527,323403215,
177889/23/03022-ИП,5384068.58,2460069527,323403215,
177891/23/03022-ИП,5386651.72,2460069527,323403215,
178041/23/03022-ИП,2854387.78,2460069527,323403215,
178042/23/03022-ИП,3007132.67,2460069527,323403215,
17799/23/03022-ИП,3430540.47,2460069527,323403215,
20411/23/03022-ИП,5344866.61,2460069527,323403215,
20412/23/03022-ИП,4546071.59,2460069527,323403215,
32803/23/03003-ИП,4366273.7,2460069527,326542810,
32810/23/03003-ИП,2765812.68,2460069527,326542810,
32814/23/03003-ИП,2826538.32,2460069527,326542810,
32818/23/03003-ИП,4036037.77,2460069527,326542810,
32857/23/03003-ИП,4691615.78,2460069527,326542810,
32859/23/03003-ИП,3037072.55,2460069527,326542810,
32861/23/03003-ИП,2665848.11,2460069527,326542810,
32867/23/03003-ИП,2625516.13,2460069527,326542810,
32886/23/03003-ИП,2769593.68,2460069527,326542810,
32895/23/03003-ИП,2524278.0,2460069527,326542810,
32896/23/03003-ИП,3692888.84,2460069527,326542810,
32897/23/03003-ИП,4579820.86,2460069527,326542810,
32905/23/03003-ИП,3823829.52,2460069527,326542810,
31400/24/03023-ИП,6281889.73,7444062530,323360628,
198739/24/03023-ИП,4183085.71,2460069527,326478650,
150658/24/03023-ИП,10024371.1,2460069527,326478650,
150664/24/03023-ИП,2564877.57,2460069527,326478650,
150662/24/03023-ИП,2698140.98,2460069527,326478650,
150655/24/03023-ИП,3084271.09,2460069527,326478650,
150653/24/03023-ИП,2678565.18,2460069527,326478650,
96333/24/03023-ИП,3871569.01,2460069527,326478650,
96329/24/03023-ИП,18791251.72,2460069527,326478650,
96324/24/03023-ИП,21377760.41,2460069527,326478650,
96321/24/03023-ИП,24455345.62,2460069527,326478650,
96319/24/03023-ИП,19081258.55,2460069527,326478650,
96318/24/03023-ИП,17476537.31,2460069527,326478650,
96316/24/03023-ИП,17260142.49,2460069527,326478650,
96313/24/03023-ИП,24184457.6,2460069527,326478650,
96312/24/03023-ИП,19887983.04,2460069527,326478650,
96306/24/03023-ИП,18894941.18,2460069527,326478650,
96302/24/03023-ИП,28335348.45,2460069527,326478650,
96301/24/03023-ИП,4587697.61,2460069527,326478650,
96297/24/03023-ИП,25737493.79,2460069527,326478650,
96290/24/03023-ИП,6491714.66,2460069527,326478650,
96289/24/03023-ИП,23578256.98,2460069527,326478650,
244753/24/03023-ИП,4439835.56,2460069527,326478650,
109451/24/03023-ИП,5881249.28,2460069527,326478650,
123642/23/03023-ИП,8578342.96,6952310977,301200765,
36212/23/03014-ИП,5240395.16,7536066430,313316806,
36213/23/03014-ИП,4517975.09,7536066430,313316806,
36214/23/03014-ИП,2793721.29,7536066430,313316806,
18858/24/03014-ИП,4488505.12,7536066430,313316806,
18861/24/03014-ИП,4608948.4,7536066430,313316806,
7901/23/03014-ИП,5146625.19,2460069527,317317342,
12158/24/03014-ИП,2986684.34,7536066430,313316806,
18703/24/03014-ИП,4104237.73,7536066430,313316806,
18860/24/03014-ИП,2602783.47,7536066430,313316806,
18862/24/03014-ИП,2580887.18,7536066430,313316806,
22334/23/03014-ИП,5111174.39,7536066430,313316806,
22335/23/03014-ИП,4318823.44,7536066430,313316806,
22336/23/03014-ИП,3856496.53,7536066430,313316806,
18929/23/03014-ИП,6428675.4,2460069527,313316806,
95342/23/03017-ИП,3426241.97,7536066430,317317656,
95341/23/03017-ИП,3179389.71,7536066430,317317656,
95385/23/03017-ИП,4268604.2,7536066430,317317656,
95322/23/03017-ИП,2599808.27,7536066430,317317656,
95323/23/03017-ИП,3459227.66,7536066430,317317656,
31887/24/03017-ИП,3228583.31,313316806,317317688,
90036/23/03017-ИП,10583724.17,326041154,317003466,
90927/23/03017-ИП,2906000.0,317007414,317317832,
120360/24/03017-ИП,3537793.92,7536066430,317318226,
118415/23/03017-ИП,33879067.24,2460069527,317317656,
118416/23/03017-ИП,10471848.18,2460069527,317741939,
118418/23/03017-ИП,5104141.29,2460069527,317317670,
118419/23/03017-ИП,6373531.95,2460069527,317317688,
80882/23/03017-ИП,2791189.81,2460069527,317317656,
21919/24/03017-ИП,4014161.27,7536066430,317317656,
21920/24/03017-ИП,2694135.93,7536066430,317317656,
21923/24/03017-ИП,3705579.58,7536066430,317317656,
21924/24/03017-ИП,3271731.21,7536066430,317317656,
189482/24/03001-ИП,5129834.78,3808158330,326490600,
93201/24/04001-ИП,5807900.0,411108240,411024456,
23013/20/04001-ИП,3083990.98,411121650,411136110,
78541/24/05061-ИП,4051040.0,7723926822,533011831,
14307/23/05061-ИП,19428494.45,2632082033,533012458,
51615/19/05065-ИП,18442453.67,532009981,532013522,
94268/22/05065-ИП,2759137.87,572019545,532007536,
96880/24/05030-ИП,8036681.19,561047290,543016081,
236771/24/05030-ИП,3067577.57,561047290,543016081,
22314/23/05031-ИП,25000000.0,562044341,508006161,
16831/22/05031-ИП,11630141.0,2628037944,508011965,
13803/24/05022-ИП,6050808.38,561047290,572015029,
5643/24/05022-ИП,7354450.0,554004659,554007064,
144563/23/05022-ИП,3085970.99,572007236,562048882,
39652/24/05022-ИП,5725000.0,571033032,572012797,
153708/23/05022-ИП,20931185.0,7708514824,573003040,
189302/23/05022-ИП,3526767.14,5030084617,541029409,
138371/23/05022-ИП,7317198.06,546001534,572026574,
119339/23/05022-ИП,6453979.36,7204002873,560000892,
9576/24/05043-ИП,4026870.6,560022374,545016009,
66468/23/05043-ИП,4280973.47,541031172,545016009,
76866/24/05043-ИП,6509580.0,554005719,545026776,
34877/23/05043-ИП,22648042.32,562066962,545016009,
131959/24/05043-ИП,38402495.0,2632082033,545015598,
131960/24/05043-ИП,34964277.0,2632082033,545015598,
87464/23/05043-ИП,23526716.17,2632082033,545015598,
87465/23/05043-ИП,24056441.9,2632082033,545015598,
87467/23/05043-ИП,20072045.91,2632082033,545015598,
87468/23/05043-ИП,16037358.46,2632082033,545015598,
87470/23/05043-ИП,6423292.83,571008854,554000887,
87521/23/05043-ИП,13355014.86,2632082033,545016009,
87531/23/05043-ИП,28907506.27,545019120,545016009,
87536/23/05043-ИП,3477490.86,541025228,545016009,
38433/24/05043-ИП,7777492.44,2632082033,545016009,
67410/23/05043-ИП,5796864.18,541031172,545016009,
79037/23/05043-ИП,2685191.36,2632082033,545016009,
79041/23/05043-ИП,18825133.38,541031172,545015598,
79044/23/05043-ИП,41824780.9,541031172,545015598,
175719/23/05045-ИП,4964908.15,572012772,546008258,
119346/22/06020-ИП,2776761.68,601027751,601021069,
92288/24/06022-ИП,16761451.05,2635242824,608038720,
27536/24/06022-ИП,3045487.5,2312209146,607002577,
41042/24/06022-ИП,7451390.4,2635220796,608038720,
52787/24/06022-ИП,9476532.81,2632082033,603009902,
10/24/06022-ИП,9476532.81,2632082033,603009902,
34657/24/06016-ИП,3486401.33,2632082033,608010370,
20795/24/06016-ИП,12659670.28,603283831,608015480,
20796/24/06016-ИП,4492104.1,603003040,608015480,
20797/24/06016-ИП,5713564.32,608004538,608015480,
7497/24/06017-ИП,2783943.2,7702599998,608061889,
108595/24/06017-ИП,10550000.0,603003731,608005059,
96346/23/06017-ИП,3846328.37,7724430593,608022632,
85120/23/07011-ИП,10000000.0,721061955,724000083,
55542/23/07012-ИП,42832150.34,7725114488,721062846,
220133/23/07013-ИП,3727292.39,704001917,716003404,
36225/23/07015-ИП,13908818.89,726016152,705008055,
145452/24/07015-ИП,16170112.76,726016152,705008055,
145445/24/07015-ИП,10819604.24,726016152,705008055,
145444/24/07015-ИП,13393162.41,726016152,705008055,
145443/24/07015-ИП,15750423.38,726016152,705008055,
4901/24/07015-ИП,19382088.09,726016152,705008055,
15573/24/07015-ИП,42647684.27,726016152,705008055,
109001/24/07015-ИП,13392685.39,726016152,705008055,
29838/24/07015-ИП,56365218.19,726016152,705008055,
44045/23/07015-ИП,10713288.76,726016152,705008055,
58527/23/07015-ИП,16522603.58,726016152,705008055,
99413/24/07016-ИП,13604976.65,4909114098,708016784,
37752/24/07018-ИП,2909642.18,2632082033,700000542,
141783/24/07018-ИП,3450529.94,2632082033,700006086,
37745/24/07018-ИП,5521682.86,2632082033,710056801,
138451/23/07010-ИП,4231477.32,2632082033,722004117,
143440/23/07010-ИП,3411792.81,2632082033,722004117,
246296/24/07010-ИП,4305149.99,2632082033,701110178,
246207/24/07010-ИП,14693162.44,726016152,722002600,
332587/23/07010-ИП,11881863.93,726016152,722002600,
309773/24/07010-ИП,3683544.83,2632082033,722004117,
127598/24/07010-ИП,9611739.76,726016152,722002600,
127594/24/07010-ИП,7776402.17,726016152,722002600,
127592/24/07010-ИП,7627653.32,726016152,722002600,
53088/24/07010-ИП,3138891.01,2370012237,700003864,
288944/24/07010-ИП,5983778.56,726016152,722002600,
79025/24/07010-ИП,22141628.25,726016152,722002600,
274986/23/07010-ИП,15721683.81,726016152,722002600,
126980/24/07010-ИП,15948757.91,726016152,722002600,
261627/23/07010-ИП,2868498.99,726016530,701017605,
156619/23/07010-ИП,3663097.85,2632082033,722004117,
156618/23/07010-ИП,3460036.2,2632082033,722004117,
39502/24/07009-ИП,4980000.0,7727425344,722004597,
55358/24/07009-ИП,21726814.88,726016152,726016530,
712867/23/07009-ИП,3060100.25,1651057954,711008455,
560486/24/07009-ИП,6424878.13,7801210147,700000976,
676303/23/07009-ИП,7609527.73,725017442,725014995,
706292/24/07009-ИП,11912582.2,275006455,725030073,
114262/24/07009-ИП,3138556.15,3666032360,725008381,
698968/23/07009-ИП,4898957.5,2309003018,725003383,
593805/23/07009-ИП,21181386.18,7704221591,706003701,
591496/23/07009-ИП,7859728.82,7703737520,711007652,
604732/23/07009-ИП,29337985.6,725017442,725014995,
604733/23/07009-ИП,18496438.8,725017442,725014995,
353782/24/07009-ИП,2736537.04,7744000912,725030073,
202898/24/07009-ИП,3540128.77,726016152,725023090,
406203/24/07009-ИП,4575059.02,3525092864,725030073,
406188/24/07009-ИП,12746462.95,275006455,725030073,
241348/23/07009-ИП,19937794.95,725023090,726016530,
625502/23/07009-ИП,40000000.0,721061955,706003701,
115178/23/08010-ИП,3567331.98,814166090,801006710,
168223/23/08001-ИП,2714823.14,5260148520,816000333,
168214/23/08001-ИП,6445153.95,5612042824,816000333,
168209/23/08001-ИП,3580332.26,7704228075,816000333,
138818/24/09012-ИП,4531525.01,2635048440,901047734,
138814/24/09012-ИП,5586607.72,2635048440,901047734,
36707/24/09012-ИП,26497404.8,901048801,917026360,
191004/23/09012-ИП,33652040.74,7725114488,917012416,
130868/23/09012-ИП,3423434.29,7725114488,917012416,
30376/23/09012-ИП,5452089.66,901006512,917016361,
12835/23/10012-ИП,6166540.85,4703135513,1005010205,
108780/23/10015-ИП,2569534.35,4704096730,1015007829,
61483/24/10006-ИП,8681080.46,7709431786,1004016860,
135808/23/10006-ИП,5588720.34,7707282610,1004004449,
43550/24/10017-ИП,2966251.29,1001016090,1007023810,
7574/24/10024-ИП,8583771.0,1001001390,1001308424,
51139/23/10024-ИП,27629211.14,7714459459,1001349357,
29499/24/10024-ИП,4353750.41,1001337418,1001215265,
53114/24/10024-ИП,4712177.07,7707083893,1001180968,
3657/24/10024-ИП,2587140.59,1001337418,1001215265,
10346/24/10024-ИП,3621924.14,7702000406,1001311868,
54440/24/10024-ИП,2845336.45,2204000595,6670437326,
59893/23/10024-ИП,28214021.5,1001143003,1001310705,
59590/23/10024-ИП,12866647.84,7707009586,1001194449,
38411/24/10024-ИП,2895245.86,6661003273,6670437326,
24424/23/10024-ИП,5034244.79,7707083893,1001334262,
20963/24/10024-ИП,4367686.56,1001337418,1001267030,
270978/24/11002-ИП,8564591.55,7750004150,1103013074,
94583/23/11002-ИП,2876498.09,1101487135,1103044900,
207110/23/11002-ИП,3288884.02,7707083893,1103013074,
188267/24/11003-ИП,10365008.7,2983001700,1108023541,
264773/24/11003-ИП,6511988.22,1102028818,1102079837,
274554/23/11003-ИП,3623594.53,2983001700,1108023541,
274558/23/11003-ИП,4027113.68,3015082241,1108023541,
274559/23/11003-ИП,10395932.02,7204118010,1108023541,
88413/23/11014-ИП,7787326.63,7328107893,1109014532,
238753/23/11001-ИП,2559751.22,3905019765,1101099076,
211166/24/11001-ИП,4078061.14,7750005919,1101154961,
83605/24/11001-ИП,9821285.98,1101170339,1101173731,
59904/24/11001-ИП,2659359.95,1615014225,1101175288,
162711/24/11001-ИП,3912293.33,3525378310,1101136659,
152438/24/11001-ИП,5131103.4,7750004150,1101051564,
243242/23/11001-ИП,60367346.42,7707083893,1121021399,
148624/23/11001-ИП,5320466.95,2901100759,1101165603,
148614/23/11001-ИП,4078748.04,2901100759,1101165603,
148611/23/11001-ИП,2706550.87,2901100759,1101165603,
74144/23/11006-ИП,2627520.36,7802131219,1106032854,
254666/23/11007-ИП,11242339.89,7802312751,7717736855,
254667/23/11007-ИП,4956882.13,7802312751,7717736855,
80018/23/12020-ИП,4063753.22,7780004150,1224003514,
47625/23/12022-ИП,3425827.34,1215099739,1203009586,
47623/23/12022-ИП,3530209.71,1215099739,1203009586,
227012/23/12023-ИП,10414996.71,8905066387,1200000899,
17938/24/12023-ИП,11854468.86,1653017026,1215084595,
20835/24/12023-ИП,4657949.14,7702800040,1215189044,
47314/24/12023-ИП,4696993.82,1653017026,1215084595,
209248/23/12023-ИП,11710622.16,7723738018,1650211547,
193171/23/12023-ИП,5734720.51,1215011170,1215164674,
125710/24/12023-ИП,4921254.21,1215105703,1215187897,
220390/24/12023-ИП,3394953.74,7750004150,1215187897,
98135/24/12023-ИП,3637416.72,1215182200,1215182666,
23994/24/12023-ИП,12684281.68,1653017026,1215118678,
208640/23/12023-ИП,2845931.24,6315376946,1215131654,
201070/23/12023-ИП,3728555.15,1207010977,1215220449,
215328/23/12023-ИП,4459306.32,1215132464,1215225623,
165002/24/12023-ИП,3652618.93,1326211305,1215139903,
112893/24/12023-ИП,3893717.33,3327126310,1650211547,
114007/24/12023-ИП,10231293.01,8905066387,1200000899,
63082/23/12027-ИП,29271298.09,1215114105,1215114105,
139348/24/12027-ИП,3641213.1,1207015196,1207009065,
180700/23/12027-ИП,12155564.69,7709431786,1215129574,
117545/23/12027-ИП,4257652.23,1215154154,1218000716,
121792/23/13012-ИП,8759297.54,1326251555,1323126362,
121795/23/13012-ИП,2876235.0,1326251555,1323126362,
134170/23/13012-ИП,6290100.0,1312089775,1323126362,
262525/23/13015-ИП,2636706.84,7704844420,1327007912,
124806/24/13015-ИП,2903647.05,1656089607,1326253658,
177948/24/13015-ИП,3330030.06,1327037917,1326248369,
32741/24/13018-ИП,8065422.95,1328014373,1326207267,
275262/24/13018-ИП,3122203.17,1326210502,1327025502,
128060/23/14008-ИП,14763693.08,1435237430,1408004081,
874390/22/14005-ИП,30515468.93,7810443290,1402017430,
355313/23/14005-ИП,2700249.3,7810443290,1402019204,
355321/23/14005-ИП,34089281.21,7810443290,1402019204,
167744/24/14021-ИП,2620577.11,7730059592,1434035424,
3829/19/14021-ИП,4468778.41,1434031363,1434022760,
129610/21/14021-ИП,2805906.23,1434031363,1434022760,
132840/24/14021-ИП,2981346.89,7736046991,1434035424,
290659/23/14021-ИП,5442237.95,2812172783,1434053247,
286968/24/14021-ИП,19614982.53,7704531762,1434049272,
59892/22/14021-ИП,4537508.97,1434031363,1434022760,
244014/23/14037-ИП,2532090.61,1435355152,1435134114,
244015/23/14037-ИП,2534228.26,1435355152,1435134114,
324379/24/14037-ИП,4383412.76,1435028701,1435306211,
106369/24/14037-ИП,18051287.67,1435159327,1435097568,
14392/24/14037-ИП,4202256.63,1435028701,1435295792,
475363/23/14037-ИП,5002950.89,1435028701,1435295792,
467403/22/14037-ИП,17276421.58,1435028701,1435065894,
306943/23/14037-ИП,6155508.92,1406004287,1435319958,
522697/24/14037-ИП,32919508.82,1435149791,1435317742,
522814/24/14037-ИП,2958253.48,1435149791,1435317742,
241119/24/14037-ИП,18143000.0,1435275429,1435317742,
241549/24/14037-ИП,12627826.58,1435163242,1435145606,
241551/24/14037-ИП,10638472.6,1435163242,1435145606,
312508/23/14037-ИП,3861778.01,1435175512,1435326970,
140099/24/14037-ИП,4128468.13,1435229817,1435279254,
132411/24/14037-ИП,3212211.21,1435175512,1435200462,
68703/24/14037-ИП,50882206.64,1435138461,1435200462,
1461706/20/14037-ИП,5409659.37,4401116480,1435225996,
14004/21/14037-ИП,3205739.32,1435133520,1435141739,
496756/23/14037-ИП,5077594.86,1435028701,1435134153,
379332/24/14037-ИП,2774136.5,1435032049,1435353839,
379862/24/14037-ИП,6643954.03,4717008434,1435225996,
102977/21/14037-ИП,3927602.9,7714232994,1435275066,
394601/24/14037-ИП,14729888.74,1435028701,1433025575,
126572/21/14037-ИП,3745370.38,1435289990,1435314420,
9374/24/14037-ИП,6115722.74,1435191592,1435200462,
105165/24/14037-ИП,3463788.24,1435029085,1435358883,
418033/24/14037-ИП,5353157.45,1435028701,1435295792,
342813/24/14037-ИП,3033260.16,1435138461,1435200462,
361525/22/14037-ИП,2858179.48,7718908828,1435285723,
85962/23/14037-ИП,4529022.11,1435032049,1435331151,
299862/23/14037-ИП,3769043.06,1435028701,1435345595,
301660/22/14037-ИП,2834161.84,1431010647,1434039860,
2972/21/14007-ИП,3255314.0,1415013023,1407008541,
9025/21/14007-ИП,4052077.16,1435253344,1407008541,
146509/23/15012-ИП,3247614.59,7727309556,1511028223,
390476/23/15013-ИП,3037349.72,2632082033,1512019790,
386033/23/15013-ИП,5353560.23,2632082033,1512019800,
4385/24/15013-ИП,3301240.25,2632082033,1512019408,
85226/24/15013-ИП,3231326.44,2632082033,1512019408,
