ИНН,Короткое название,Статус,Система налогообложения,Дата последней отчетности
2465345604,"ООО ""СИБМАСТЕР-СТРОЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2466142068,"ООО ""ШКОЛЬНИК""",,,
2460113166,"ООО ""ЗЕЛЕНЫЙ МОСТ""",,,
2460256206,"ООО ""БЛН-СЕРВИС""",,,
2466196641,"ООО ""ЗЕРНО И КО""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2464224759,"ООО ""КЗГО""","Юридическое лицо ликвидировано 13 июня 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
2462070912,"ООО ""АЛЬЯНС-ИНВЕСТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2462047649,"ООО ""АБВ-СТРОЙ""",,,
2460227325,"ООО ""ФЕНИКС""",,,
2508087005,"ООО ""ЮРИДИЧЕСКАЯ КОМПАНИЯ ""ПРАВА И ОБЯЗАННОСТИ""","Юридическое лицо ликвидировано 24 апреля 2015 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
2511113135,"ООО ""ЭКА-ТАРА ДВ""","Юридическое лицо ликвидировано 19 марта 2025 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
2537113757,"ООО УК ""ОСНОВА""",,,
2543154078,"ООО ""ГЛАВРЫБА""","Юридическое лицо ликвидировано 26 апреля 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
2543163883,"ООО ""ТОРГОВЫЙ ДОМ АМЕРА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2540183112,"ООО ""НАВИК""",,,
2537122818,"ООО ""ТОННЕР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2632105932,"ООО ""СК-ЭНЕРГОСБЫТ""",,,
2635247212,"ООО ""КОРОНА-26""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2721241951,"ООО ""ТРАНСПОРТНАЯ КОМПАНИЯ ""НЕМАН""",,,
2724061386,"ООО ""ТЕХСТРОЙПАРК""",,,
2724212839,"ООО ""АМЕЛИЯ""","Юридическое лицо ликвидировано 28 декабря 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
2722102397,"ООО ""ТРАНССЕРВИСДВ""",,,
2808003976,"ООО ""СК ДАНКОМ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2901204765,"ООО ""СФЕРА""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,
300700758662,,,,
3128095731,"ООО ""ТРАНСЛОГИСТИК""",,,
3123439361,"ООО ""КОМБУР""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
3257078036,"ООО ""ТРАКТОР 32""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
3301033213,"ООО ""СТРОЙ-МАСТЕР""",,,
3323007217,"ООО ""УК ""ПЛАЗМА""",,,
3328498713,"ООО ""ВЛАДСТРОЙ""",,,
3327123430,"ООО ""СТРОЙСТАНДАРТ""",,,
3327144180,"ООО ""ПРИОРИТЕТ""",,,
3327143130,"ООО ""ЗМ ВПС""","Юридическое лицо ликвидировано 25 марта 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
3460082978,"ООО ""ТБ СКИЛД""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
3435306416,"ООО ""МАСТЕРСПЕЦСТРОЙ""",,,
3443054716,"ООО ""КУБИК""",,,
3455002166,МАУ ДОЛ ИМ. ГУЛИ КОРОЛЕВОЙ,,,
352702244650,,,,
3525444883,"ООО ""СНГК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
3702189514,"ООО ""ПРОСТИЛЬ""",,,
3816036712,"ООО ""КШП Г.ТУЛУНА""",Действующая компания,,
3912012150,"ООО ""РАУШЕН ДТА""",,,
4001012158,"ООО ""АБО ГРУППА ( АВИАБАЗА ""ОРЕШКОВО"" )",,,
4101127829,"ООО ""ЭНЕРГОРЕСУРС-М""",,,
4104003331,"МБУ ""ДСО БМР""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
4205378721,"МП ""ЖСУ""",,,
4205364567,"ООО ""СИБТРЕЙД""",,,
4345059524,"ООО ""КИРОВЖИЛСТРОЙ""",,,
4401142994,"СССОПК ""СЕМЕНОВСКОЕ""",,,
4716019296,"СНТ ""СОКОЛ-1"", МАССИВА ""НИКОЛЬСКОЕ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
4710013788,"ООО ""ЭКОПРОМ А2""","Юридическое лицо ликвидировано 19 января 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
3666263826,"ООО ""ДОНЭНЕРГОСТРОЙСЕРВИС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
4909127259,"ООО ТК ""ПОЛЮС""","Юридическое лицо ликвидировано 17 февраля 2025 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
5190101846,"ООО ""СЕВЕР СПОРТ""",Действующая компания,,
5260487709,"ООО ""НПФ ЭНЕРГИЯ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
5260481369,"ООО ""ЦВЕТМЕТ-ПОВОЛЖЬЕ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
5263086254,"ООО ""ТРАНСДЕТАЛЬ""","Юридическое лицо ликвидировано 20 октября 2023 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
5249175086,"ООО ""ТД ""ИМПУЛЬСТЕКС""","Юридическое лицо ликвидировано 30 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
5214011834,"МУП""ЮГАНЕЦКОЕ""",,,
5320060093,"ООО ""КУ-55""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
434546832600,,,,
5403073071,"ООО ""ГЛОБАЛ ТРАНС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
5403057538,"ООО ""НЗСК""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
5504154986,"ООО ""УНИВЕРСАЛ-СЕРВИС""",,,
5506174970,"ООО ""МАК-ТРАСТ""","Юридическое лицо ликвидировано 28 февраля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
5501266970,"ООО ""ПРОФСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
5507225586,"ООО ""ЭКОРОС-СИБИРЬ""",,,
5638068672,"ООО ""КОРВЕНТ""","Юридическое лицо ликвидировано 18 ноября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
5919030755,"ООО ""ЗЕЛЁНЫЙ КРАЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
6143100621,"ООО ""ЮГСТРОЙМОНТАЖ""","Юридическое лицо ликвидировано 20 октября 2023 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
2372015378,"ООО ""ЛУЧ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6164129100,"ООО ""ЮГОПТТОРГ""",,,
6164138143,"ООО ""ЭНКИ 1""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
6166125742,"ООО ""СКБИС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
6164141185,"ООО ""РЕАЛ""","Юридическое лицо ликвидировано 20 декабря 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
6168105999,"ООО ""СЕЛЬМАШЮГ""","Юридическое лицо ликвидировано 1 ноября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
6167145815,"ООО ""СРЗ УСТЬ-ДОНЕЦКИЙ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
6168201815,"САДОВОДЧЕСКОЕ ТОВАРИЩЕСТВО ""ПУТЕЕЦ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6234185862,"ООО ""КЕДР""","Юридическое лицо ликвидировано 28 февраля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
6325077060,"ООО ""СТРОЙТОРГСНАБ""",Сведения недостоверны (заявление физического лица о недостоверности сведений о нем),Общая (ОСНО) Согласно данным ФНС за 2023 год,
6321373781,"ООО ""ПОРУЧИКЪ ГОЛИЦЫНЪ""",,,
6451010700,"ООО УК ""СТОЛИЦА""",,,
6454142007,"ООО ""АРТРО-ЭКСКЛЮЗИВ""",,,
6454132545,"ООО ""ВКС""",,,
6452150980,"ООО ""СК ТЕХНОЛОДЖИ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6432021633,"ООО ""САРМЯСО""",,,
6454065200,"ООО ""РЕМЭКС""",,,
6401001852,"ООО ""АЛСЕРВИССТРОЙ""",Юридическим лицом принято решение об изменении места нахождения,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6442013180,"ООО ""ГСП""",,,
6453166284,"ООО ""АТЛАНТА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
6501299216,"ООО ""ОЛЕСЯ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6500002374,"ООО ""СК СОЮЗ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
6685176028,"ООО ""ТЕРРАСТРОЙ""",,,
6658220454,"ООО ""РЕНН""",,,
6633029174,"ООО ""УСК ""ПРЕТОРИЙ""","Юридическое лицо ликвидировано 21 июня 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
6658375610,"ООО ""СПЕЦСТРОЙМОНТАЖ""",,,
6670506516,"ООО ""МТМ УРАЛ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6658557666,"ООО ""КК ПРОГРЕСС""","Юридическое лицо ликвидировано 11 июня 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
6681013061,"ООО ""ЮИН РЕМОНТ-СТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6732217027,"ООО ""КИПИОС РУС""","Юридическое лицо ликвидировано 20 декабря 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
6727036836,"ООО ""ОПТИМАСТРОЙИНВЕСТ""",,,
6829087332,"ООО ""ЛЕНФАСТ""",,,
6829158304,"ООО ""ВИТА""",,,
6812007635,"ООО ""ПТЭК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
6815005668,"ООО ""ГИППОКРАТ""",,,
6950253434,"ООО ""ЛАРГО""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7017389194,"ООО ""ТД НОРДГРУПП""",,,
7100022716,"ООО ""АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ №10""","Юридическое лицо ликвидировано 25 марта 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
7100006640,"ООО ""АКЦЕНТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
7220100638,"ООО ""СК ПРОМЭНЕРГОСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7203515015,"ООО ""КИБУС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
7327041840,"ООО ""ЗАПАД""",,,
7321017390,"ООО ""ИСТОПКИ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
7453310268,"ООО СК ""ЭНЕРГИЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
7449135239,"ООО ""НЕДРА УРАЛА""",,,
744813261240,,,,
7451436890,"ООО СК ""ЧДРС""","Юридическое лицо ликвидировано 4 июня 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
7453229970,"ООО СП ""ЭНЕРГОМОНТАЖ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7449146865,"ООО ""МТ-КОМПЛЕКТ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
7404072204,"ООО ""СОСНОВСКИЙ МЕТ-СНАБ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7500003926,"МАУ ЖКХБ ""УЛЁТОВСКОЕ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7811734848,"ООО ""МОНОЛИТСТРОЙ-2""",,,
780261209688,,,,
7804680750,"ООО ""КРИС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
7807387775,"ООО ""ГРАНДСТРОЙПРОЕКТ""",,,
7806628650,"ООО ""МЕТИЗКОМПЛЕКС""",Действующая компания,,
7810477370,"ООО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ЛИДЕР""",,,
7810925159,"ООО ""АНИВА-СТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7802896031,"ООО ""СК СТРОЙГАРАНТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7810426576,"ООО ""ВОДОЛЕЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
7814724767,"ПО АНО ""ГОРОДСКОЙ УЧЕБНЫЙ ЦЕНТР ДОСААФ РОССИИ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7841337076,"ООО ""ПЕТРОСТРОЙ""",,,
7805799090,"ООО ""АЛТЕК ПРО""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
7805785227,"ООО ""ПОЛИСТИРОЛБЕТОН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7810404163,"ООО ""ПРОМСЕРВИС""",,,
7814796810,"ООО ""ЛЕСОПТТОРГ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7807061910,ОБЩЕСТВЕННЫЙ ФОНД ИМЕНИ В.СУСЛОВА,Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7843017794,"ООО ""ОНССАЛЕС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7842481812,"ООО ""ПОПУЛЯРНЫЕ ПРОЕКТЫ""",,,
7841097843,"ООО ""СПЕЦИАЛЬНЫЕ ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7842208404,"ООО ""СК СПЕЦСТРОЙ 78""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
7816713866,"ООО ""СОЛАРД ИНЖИНИРИНГ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
9305009526,"АООО ""СТЫЛЬСКИЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
9303014834,"ГУП ДНР ""АВТОДОР""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
9308013471,"ДП ""ТАБАЧНАЯ КОМПАНИЯ ""ХАМАДЕЙ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
9402008694,"ООО ""АКС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
9102263125,"ООО ""СТ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
9102263982,"ООО ""ИНЕРТ ЭКСЕЛЕНТ ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
9102270651,"ООО ""МСК НЕО КРЫМ""",,,
9111027220,"ООО ""ГЕОСПЕКТР""","Юридическое лицо ликвидировано 3 июля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
9200006052,"ООО ""МИРСТРОЙ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
9204567700,"ООО ""ГЛАССОК СЕВАСТОПОЛЬ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
8603119554,"ООО ""СИБСПЕЦКОМ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
8605032644,"ООО ""АТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
860228620097,,,,
8904086140,"ООО ""МСС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
5515013433,"ООО ""ВОЯЖ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
7611017032,"ООО ФИРМА ""НАСЛЕДИЕ""",,,
1514014074,"ТСЖ ""БИРАГЗАНГ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
3805734070,"СНТ ""РОМАШКА""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
3906283515,"ООО ""УК РЕМИКС""",,,
3912502860,"ООО ""УК ЦЖУ""",,,
3915011814,"МУП ""КС""",,,
3924801030,"МУП ""ЖКС СЛАВСКОГО РАЙОНА""",,,
4105034580,"ООО ""ОМЕГА""",,,
3706029053,"ООО ""ОСК""",,,
4303006432,"ООО ""КИРСИНСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",,,
616204827956,,,,
6167096572,"ООО ""УК ЖКХ ""РОСТОВ-ЦЕНТР""",,,
6434015265,"МУП ""КОМФОРТНЫЙ ГОРОД""",,,
6440036182,"ООО ""ОСК""",,,
2627027823,"ООО ""РУСИЧЪ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
