ИНН,Короткое название,Статус,Система налогообложения,Дата последней отчетности
1435317742,"ООО СТК ""АЛААС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1435145606,"ООО ""ИК ""САХАИНЖСТРОЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1435326970,"ООО ""АСТОН""","Юридическое лицо ликвидировано 11 октября 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2019.0
1435279254,"ООО АТС ""ВОСТОК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2018.0
1435200462,"ООО ""САХАСТРОЙМОНТАЖ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1435225996,"ООО ""ТЕПЛЫЙ ДОМ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2017.0
1435141739,"ООО СК ""СЕВЕРНЫЙ ДОМ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2019.0
1435134153,"ООО ""ЕССО-СТИЛЬ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
1435353839,"ООО ""СПЕЦВОДСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1435275066,"ООО ДТК ""АЛМАЗ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1433025575,"ООО ""СЕВЕРТЕХСТРОЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1435314420,"ООО ""ЭКСПЕРТ-78""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
1435358883,"ООО ""СМС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1435285723,"ООО ПСК ""ВОСТОК""","Юридическое лицо ликвидировано 18 сентября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2017.0
1435331151,"ООО СИК ""НОРД""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1435345595,"ООО ""УК ""ГАРАНТ ПЛЮС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1434039860,"ООО ""ПРОМЭКСПЕРТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2019.0
1407008541,"ООО ""ИНФИНИТИ ГРУПП""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
1511028223,"ООО ""ЮГ-СТРОЙ""",,,
1512019790,"ТСН ""ДОВЕРИЕ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1512019800,"ТСН ""ДОН""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1512019408,"ООО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОММУНАЛЬНЫЕ УСЛУГИ""","Юридическое лицо ликвидировано 26 декабря 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2021.0
1513052817,"ООО ""АЛЬФА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1513047528,"ООО ""КОМФОРТ ЖКУ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1513071136,"ООО ""ВЕСНА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
150301687367,,,,
1513048955,"ООО ""ВЛАДИКАВКАЗСКИЙ ЗАВОД АЛКОГОЛЬНЫХ НАПИТКОВ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2017.0
1501008186,"СНТ ""ТЕРЕК""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1513077699,"ООО ""А2Т""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1513055590,"ЖИЛИЩНЫЙ КООПЕРАТИВ ""ЖСК-2""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1516614581,"ООО "" ЭРА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
7720706508,"ООО ""ПРОМФОРМАТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1503016168,"СНТСН ""ЛОКОМОТИВ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1501032478,"СНТ ""ДРУЖБА""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1514014074,"ТСЖ ""БИРАГЗАНГ""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1225001260,"МЕСТНАЯ МУСУЛЬМАНСКАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""МАХАЛЛЯ №2736"" П. КРАСНЫЙ СТЕКЛОВАР МОРКИНСКОГО РАЙОНА РЕСПУБЛИКИ МАРИЙ ЭЛ",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1651087525,"ООО ""ПСК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1651091000,"ООО ""ГРИН ТЕРРА НК""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,
1651071250,"ООО ""ХАРАТС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1651071846,"ООО ""ТЕПЛОКАМ МОНТАЖ""",Юридическим лицом принято решение об изменении места нахождения,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1660336834,"ООО ""ХОНТЕР""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1660238594,"ООО ""БИССАН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1660350772,"ООО ""ТЕХАП """,Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1660342884,"ООО ""ЭКОПЛАСТИК ПЛЮС""","Юридическое лицо ликвидировано 3 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1651066250,"ООО ""ЭНЕРГОАУДИТ-НК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1659199527,"ООО ""СК ""КСИ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1659075257,"ООО ""ПОЛИКОМ""","Юридическое лицо ликвидировано 5 мая 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2020.0
1658211267,"ООО СК ""ЗИЛАНТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1660350500,"ООО ""ХОЛДИНГ ""АЙКЬЮ ТЕХНОЛОГИИ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1616007492,"ООО ""НУР-1""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
1644034498,"ООО ""УКЖД ""НОВАЦИЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1650334281,"ООО ""НЕФТЕХИМСИНТЕЗ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
7842396518,"ООО ""СМАРТ-ШИППИНГ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2015.0
1619006747,"ООО ""ТАН""",,,
1657257406,"ООО ""ЭЛИТА""","Юридическое лицо ликвидировано 7 февраля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1655248974,"ООО ""СПЕЦТЕХНИКА КАЗАНЬ""","Юридическое лицо ликвидировано 14 февраля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2016.0
1686009729,"ООО ""УК ""СТАРТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1655202440,"ООО ""СТАНДАРТ РИТЕЙЛ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2016.0
1655456886,"ООО СК ""СТРОЙИНДУСТРИЯ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1652025923,"ООО ""АРТСИТИ""","Юридическое лицо ликвидировано 3 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1660253507,"ООО ""АСЛ ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1660284030,"ООО ""ГРАНИТ-СТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1648033819,"ТСЖ ""СЕВЕРНАЯ 5""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1656097069,"ООО ""АПЛИНК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1657254927,"ООО ""СТРОЙ К""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1635009872,"ООО ""ХАН-АВТО""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
8602072832,"ООО ""ЭРЕЛЬ ГАЗСТРОЙ""","Юридическое лицо ликвидировано 6 сентября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2018.0
1657075332,"ООО ""УК ""ОРЕХОВКА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1658146610,"ООО ""ТРАНССПЕЦСТРОЙ116""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1646030717,"ООО ""ИТАЛТЕКС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1652027455,"ООО ""РЕГАТА""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,2022.0
1659184295,"ООО ""АРТЛЕОН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1661066549,"ООО ""МХС ГРУПП""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1660315016,"ООО АС ""ВЕК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1656050367,"ООО ""КУК""","Юридическое лицо ликвидировано 11 июня 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2023.0
1657230852,"ООО ""СК ""МДС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1657133834,"ООО ""ПКФ СТРОЙГРАД""",,,
1658199309,"ООО ""ГЕЛИОС-СТРОЙ""","Юридическое лицо ликвидировано 18 ноября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1657046331,"ТСН ""МЕРИДИАН""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1657077869,"ООО ""КАПАР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1657267429,"ООО ""УЮТ РЕММОНТАЖ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,
1655046103,"ООО ""СФ ""КВАДРАТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1660201058,"ООО ""КАЗАНЬ КЛИНИНГ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2020.0
1657137349,"ООО ""МОНОЛИТСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1660307199,"ООО ""СК УНЫШ""","Юридическое лицо ликвидировано 20 января 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
1650394153,"ООО ""ЮДФ-ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1650244091,"ООО ""ОМЕГА-ТРАНС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1650271352,"ООО ""МЕГАСЕРВИСПРО""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1650273230,"ООО ""МАТРЕШКА ФЭШН СИТИ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1816005855,"ООО ""МТМ""","Юридическое лицо ликвидировано 23 мая 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2018.0
1656113553,"ООО ""АТ СФЕРА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1655241224,"ООО ""НЕФТЕХИМИНВЕСТ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1655284411,"ООО ""СК ""ОПТИМАСТРОЙ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1655373319,"ООО ""МУЛЬТИСВЕТ-М""","Юридическое лицо ликвидировано 28 марта 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1658126075,"ООО ""АВЕРС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1660199391,"ООО ""ОДЭД""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1651085704,"ООО ""ТК ЛИГА ТРАНС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1658138401,"ООО ""ВЕК ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1657190977,"ООО ""ГИДРОИНТЕХ ПЛЮС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1660008978,"ООО ""ВОСХОД-ГАЗТО""","Юридическое лицо ликвидировано 18 ноября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2023.0
1655383758,"ООО ""КОФИТЕО""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1653017450,ТАТАРСТАНСКОЕ ОТДЕЛЕНИЕ СОЮЗА ДИЗАЙНЕРОВ РОССИИ,Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1655373252,"ООО ""СПЕЦ МОНТАЖ ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1655347020,"ООО ""ВЕНЕЦИЯ-КАЗАНЬ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2019.0
1655459710,"ООО ""МИП ""АНТАР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1655348168,"ООО ""РЕСУРССТРОЙСЕРВИС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1655267818,"ООО ""ПГЭП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
4205229494,"ООО ""ТЕПЛОЭНЕРГОСНАБЖЕНИЕ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1657263390,"ООО ""ПРОФИТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1615013422,"ООО ""РЕГИОН СЕРВИС""","Юридическое лицо ликвидировано 14 мая 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2018.0
1658201438,"ООО ""СЕТЬ СОВРЕМЕННЫХ РЕСТОРАНОВ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2019.0
1658134478,"ООО ""ФОРТУНА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1658003411,"ООО ""БАРС""","Юридическое лицо ликвидировано 29 июля 2020 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
