ОРГН,ИНН,КПП,ОКПО,Адрес,Короткое название,Полное название,Статус,Организационно-правовая форма,Форма собственности,Система налогообложения,Финансовая отчетность,Управляющая компания,Учредители,Санкционные списки,Телефоны,Электронные почты,Веб сайты,Виды деятельности,Контракты по госзакупкам,Генеральный директор
1202300035563,2309173940,230901001,44697746,"350033, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 62, офис 33","ООО ""ГОСТ СТРОИТЕЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОСТ СТРОИТЕЛЬ""",Действующая компания,Общества с ограниченной ответственностью,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до16,1 млрд руб.+38%', 'change': {'value': '+38%', 'tooltip': '11,7 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до329 млн руб.+43%', 'change': {'value': '+43%', 'tooltip': '230,4 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили80,4 млн руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили2,9 млн руб.', 'change': None}]}",,"{'Тип': 'Учредитель', 'Имя': 'Маликов Иван Николаевич', 'Ссылка': '/people/inn/231298946349', 'С какого момента': 'с 8 июля 2020 г.'}",Не входит в санкционные списки,['+7 908 693-35-88'],[],[],"[{'code': '41.20', 'text': 'Строительство жилых и нежилых зданий', 'href': '/select?code=412000', 'extra_tip': 'Основной'}, {'code': '42.11', 'text': 'Строительство автомобильных дорог и автомагистралей', 'href': '/select?code=421100', 'extra_tip': ''}, {'code': '42.99', 'text': 'Строительство прочих инженерных сооружений, не включенных в другие группировки', 'href': '/select?code=429900', 'extra_tip': ''}, {'code': '43.11', 'text': 'Разборка и снос зданий', 'href': '/select?code=431100', 'extra_tip': ''}, {'code': '43.12.1', 'text': 'Расчистка территории строительной площадки', 'href': '/select?code=431210', 'extra_tip': ''}, {'code': '43.12.3', 'text': 'Производство земляных работ', 'href': '/select?code=431230', 'extra_tip': ''}, {'code': '43.13', 'text': 'Разведочное бурение', 'href': '/select?code=431300', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 34', 'href': '/id/1202300035563/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Временно исполняющий обязанности директора', 'Имя': 'Мовсесян Миран Норикович', 'Ссылка': '/people/inn/231299160526-movsesyan-miran-norikovich', 'ИНН': '231299160526'}"
1102311002914,2311124852,231101001,67143884,"350072, Краснодарский край, г. Краснодар, ул. Московская, д. 42, корп. 13","ООО ""МЕРКУРИЙ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕРКУРИЙ""",Действующая компания,Общества с ограниченной ответственностью,Частная собственность,УСН Согласно данным ФНС за 2025 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до8,9 млн руб.+23%', 'change': {'value': '+23%', 'tooltip': '7,3 млн руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до-116 тыс. руб.+90%', 'change': {'value': '+90%', 'tooltip': '-1,1 млн руб. в 2023 году'}}]}",,"{'Тип': 'Учредитель', 'Имя': 'Игнатичев Александр Валерьевич', 'Ссылка': '/people/inn/231295032241', 'С какого момента': 'с 8 октября 2021 г.'}",Не входит в санкционные списки,"['+7 861 234-62-69', '+7 918 431-85-97', '+7 861 252-07-41']",[],[],"[{'code': '35.30.2', 'text': 'Передача пара и горячей воды (тепловой энергии)', 'href': '/select?code=353020', 'extra_tip': 'Основной'}, {'code': '10.6', 'text': 'Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов', 'href': '/select?code=106000', 'extra_tip': ''}, {'code': '35.30.14', 'text': 'Производство пара и горячей воды (тепловой энергии) котельными', 'href': '/select?code=353014', 'extra_tip': ''}, {'code': '46.21', 'text': 'Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных', 'href': '/select?code=462100', 'extra_tip': ''}, {'code': '46.22', 'text': 'Торговля оптовая цветами и растениями', 'href': '/select?code=462200', 'extra_tip': ''}, {'code': '46.31', 'text': 'Торговля оптовая фруктами и овощами', 'href': '/select?code=463100', 'extra_tip': ''}, {'code': '46.31.11', 'text': 'Торговля оптовая свежим картофелем', 'href': '/select?code=463111', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 12', 'href': '/id/1102311002914/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Игнатичев Александр Валерьевич', 'Ссылка': '/people/inn/231295032241-ignatichev-aleksandr-valeryevich', 'ИНН': '231295032241'}"
1142311004142,2311170457,231101001,26104381,"350049, Краснодарский край, г. о. город Краснодар, г. Краснодар, ул. им. Космонавта Гагарина, д. 124, этаж 2, помещ. 206","ООО ""ФОРВАРД-СТРОЙ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРВАРД-СТРОЙ""",Действующая компания,Общества с ограниченной ответственностью,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до1,5 млрд руб.+9%', 'change': {'value': '+9%', 'tooltip': '1,4 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до3,5 млн руб.+103%', 'change': {'value': '+103%', 'tooltip': '-122,6 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили48,9 млн руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили0  руб.', 'change': None}]}",,"{'Тип': 'Учредитель', 'Имя': 'Воруков Руслан Рамазанович', 'Ссылка': '/people/inn/235701548367', 'С какого момента': 'с 19 февраля 2018 г.'}",Не входит в санкционные списки,"['+7 861 200-15-11', '+7 918 407-44-30', '+7 911 086-02-95']",['ang2650@gmail.com'],[],"[{'code': '41.20', 'text': 'Строительство жилых и нежилых зданий', 'href': '/select?code=412000', 'extra_tip': 'Основной'}, {'code': '42.21', 'text': 'Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения', 'href': '/select?code=422100', 'extra_tip': ''}, {'code': '42.22.2', 'text': 'Строительство местных линий электропередачи и связи', 'href': '/select?code=422220', 'extra_tip': ''}, {'code': '43.11', 'text': 'Разборка и снос зданий', 'href': '/select?code=431100', 'extra_tip': ''}, {'code': '43.12.3', 'text': 'Производство земляных работ', 'href': '/select?code=431230', 'extra_tip': ''}, {'code': '43.21', 'text': 'Производство электромонтажных работ', 'href': '/select?code=432100', 'extra_tip': ''}, {'code': '43.22', 'text': 'Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха', 'href': '/select?code=432200', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 17', 'href': '/id/1142311004142/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Горбань Андрей Николаевич', 'Ссылка': '/people/inn/744701384004-gorban-andrey-nikolaevich', 'ИНН': '744701384004'}"
1202300025234,2311305369,231101001,44224410,"350039, Краснодарский край, г. Краснодар, Мирный проезд, д. 4/1, офис 201","ООО ""ТТК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОВАЯ ТРАНСПОРТНАЯ КОМПАНИЯ""",Действующая компания,Общества с ограниченной ответственностью,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до529,3 млн руб.+44%', 'change': {'value': '+44%', 'tooltip': '369,2 млн руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до65,4 млн руб.+615%', 'change': {'value': '+615%', 'tooltip': '9,2 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили978,3 млн руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили0  руб.', 'change': None}]}",,"{'Тип': 'Учредитель', 'Имя': 'Исаев Эльдар Ризвангаджиевич', 'Ссылка': '/people/inn/231124522503', 'С какого момента': 'с 12 мая 2020 г.'}",Не входит в санкционные списки,"['+7 861 205-06-72', '+7 989 294-94-23']","['zakupki-ttk@yandex.ru', 'ttk-teplo@mail.ru']",[],"[{'code': '35.30', 'text': 'Производство, передача и распределение пара и горячей воды; кондиционирование воздуха', 'href': '/select?code=353000', 'extra_tip': 'Основной'}, {'code': '35.12', 'text': 'Передача электроэнергии и технологическое присоединение к распределительным электросетям', 'href': '/select?code=351200', 'extra_tip': ''}, {'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': ''}, {'code': '35.14', 'text': 'Торговля электроэнергией', 'href': '/select?code=351400', 'extra_tip': ''}, {'code': '36.00', 'text': 'Забор, очистка и распределение воды', 'href': '/select?code=360000', 'extra_tip': ''}, {'code': '37.00', 'text': 'Сбор и обработка сточных вод', 'href': '/select?code=370000', 'extra_tip': ''}, {'code': '38.11', 'text': 'Сбор неопасных отходов', 'href': '/select?code=381100', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 34', 'href': '/id/1202300025234/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Караваев Максим Геннадьевич', 'Ссылка': '/people/inn/615308046881-karavaev-maksim-gennadyevich', 'ИНН': '615308046881'}"
1022301974420,2312054894,231001001,03504534,"350000, Краснодарский край, г. Краснодар, ул. Длинная, д. 120","АО ""АТЭК""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОНОМНАЯ ТЕПЛОЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",Действующая компания,Непубличные акционерные общества,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до2,9 млрд руб.+5%', 'change': {'value': '+5%', 'tooltip': '2,7 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до1,5 млн руб.+101%', 'change': {'value': '+101%', 'tooltip': '-556,6 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили3,2 млрд руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили781 тыс. руб.', 'change': None}]}",,{'Информация': 'Нет сведений об учредителях'},Не входит в санкционные списки,"['+7 861 231-06-53', '+7 877 252-77-86', '+7 877 252-32-32']","['gulkevichi@oao-atek.ru', 'oaokte@krteplo.ru', 'kostyshina_ou@oao-atek.ru']","[{'name': 'krteplo.ru', 'url': 'http://krteplo.ru'}, {'name': 'oao-atek.ru', 'url': 'http://oao-atek.ru'}]","[{'code': '35.30.14', 'text': 'Производство пара и горячей воды (тепловой энергии) котельными', 'href': '/select?code=353014', 'extra_tip': 'Основной'}, {'code': '33.13', 'text': 'Ремонт электронного и оптического оборудования', 'href': '/select?code=331300', 'extra_tip': ''}, {'code': '35.11', 'text': 'Производство электроэнергии', 'href': '/select?code=351100', 'extra_tip': ''}, {'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': ''}, {'code': '35.30.2', 'text': 'Передача пара и горячей воды (тепловой энергии)', 'href': '/select?code=353020', 'extra_tip': ''}, {'code': '35.30.3', 'text': 'Распределение пара и горячей воды (тепловой энергии)', 'href': '/select?code=353030', 'extra_tip': ''}, {'code': '35.30.4', 'text': 'Обеспечение работоспособности котельных', 'href': '/select?code=353040', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 8', 'href': '/id/1022301974420/activity', 'extra_tip': ''}]","{'Наличие данных': True, 'Контракт': '14032', 'Сумма': '19.5 млрд руб.', 'Заказчик': '6.5 млрд руб.', 'Поставщик': '13.0 млрд руб.'}","{'Должность': 'Генеральный директор', 'Имя': 'Казаков Александр Владимирович', 'Ссылка': '/people/inn/246503203827-kazakov-aleksandr-vladimirovich', 'ИНН': '246503203827'}"
1022302380638,2315004404,231501001,01125867,"353900, Краснодарский край, г. Новороссийск, ул. Портовая, д. 14","ПАО ""НМТП""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОРОССИЙСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""",Действующая компания,Публичные акционерные общества,Смешанная российская собственность с долей федеральной собственности,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до33,6 млрд руб.+16%', 'change': {'value': '+16%', 'tooltip': '29,2 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до38,7 млрд руб.+32%', 'change': {'value': '+32%', 'tooltip': '29,3 млрд руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили32,1 млрд руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили366,7 млн руб.', 'change': None}]}",,{'Информация': 'Нет сведений об учредителях'},"Входит в санкционные списки следующих стран: Евросоюз, Швейцария, Канада, Австралия, Украина","['+7 861 760-43-30', '+7 861 760-49-38', '+7 861 760-46-30']","['mail@ncsp.com', 'akolycheva@ncsp.com', 'com@ncsp.com']","[{'name': 'boyler.su', 'url': 'http://boyler.su'}, {'name': 'nmtp.info/ncsp', 'url': 'http://nmtp.info/ncsp'}, {'name': 'nmtp.info', 'url': 'http://nmtp.info'}]","[{'code': '52.24', 'text': 'Транспортная обработка грузов', 'href': '/select?code=522400', 'extra_tip': 'Основной'}, {'code': '30.1', 'text': 'Строительство кораблей, судов и лодок', 'href': '/select?code=301000', 'extra_tip': ''}, {'code': '30.20.9', 'text': 'Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава', 'href': '/select?code=302090', 'extra_tip': ''}, {'code': '33.12', 'text': 'Ремонт машин и оборудования', 'href': '/select?code=331200', 'extra_tip': ''}, {'code': '33.15', 'text': 'Ремонт и техническое обслуживание судов и лодок', 'href': '/select?code=331500', 'extra_tip': ''}, {'code': '33.17', 'text': 'Ремонт и техническое обслуживание прочих транспортных средств и оборудования', 'href': '/select?code=331700', 'extra_tip': ''}, {'code': '35.1', 'text': 'Производство, передача и распределение электроэнергии', 'href': '/select?code=351000', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 44', 'href': '/id/1022302380638/activity', 'extra_tip': ''}]","{'Наличие данных': True, 'Контракт': '3696', 'Сумма': '60.5 млрд руб.', 'Заказчик': '49.4 млрд руб.', 'Поставщик': '11.1 млрд руб.'}","{'Должность': 'Генеральный директор', 'Имя': 'Киреев Сергей Георгиевич', 'Ссылка': '/people/inn/231505377301-kireev-sergey-georgievich', 'ИНН': '231505377301'}"
1022302953947,2320033802,232001001,05053202,"354000, Краснодарский край, г. Сочи, ул. Юных Ленинцев, д. 23","МУП ""СТЭ""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА СОЧИ ""СОЧИТЕПЛОЭНЕРГО""",Действующая компания,Муниципальные унитарные предприятия,Муниципальная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до2,9 млрд руб.+6%', 'change': {'value': '+6%', 'tooltip': '2,7 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до3,8 млн руб.+3%', 'change': {'value': '+3%', 'tooltip': '3,7 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили1,5 млрд руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили873 тыс. руб.', 'change': None}]}",,{'Информация': 'Нет данных'},Входит в санкционные списки следующих стран: Украина,"['+7 861 296-85-85', '+7 862 296-85-85', '+7 862 251-11-10']","['sochi-teplo@mail.ru', 'mail@sochi-teplo.ru', '02_lpu@mail.kuban.tns-e.ru']","[{'name': 'sochi-teplo.ru', 'url': 'http://sochi-teplo.ru'}]","[{'code': '35.30.14', 'text': 'Производство пара и горячей воды (тепловой энергии) котельными', 'href': '/select?code=353014', 'extra_tip': 'Основной'}, {'code': '23.61.2', 'text': 'Производство сборных строительных конструкций из бетона, цемента и искусственного камня', 'href': '/select?code=236120', 'extra_tip': ''}, {'code': '23.63', 'text': 'Производство товарного бетона', 'href': '/select?code=236300', 'extra_tip': ''}, {'code': '35.11', 'text': 'Производство электроэнергии', 'href': '/select?code=351100', 'extra_tip': ''}, {'code': '35.14', 'text': 'Торговля электроэнергией', 'href': '/select?code=351400', 'extra_tip': ''}, {'code': '35.30', 'text': 'Производство, передача и распределение пара и горячей воды; кондиционирование воздуха', 'href': '/select?code=353000', 'extra_tip': ''}, {'code': '35.30.1', 'text': 'Производство пара и горячей воды (тепловой энергии)', 'href': '/select?code=353010', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 24', 'href': '/id/1022302953947/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Кузнецов Роман Алексеевич', 'Ссылка': '/people/inn/232011724490-kuznecov-roman-alekseevich', 'ИНН': '232011724490'}"
1022401253544,2446001206,244601001,10179141,"663090, Красноярский край, г. Дивногорск, ул. Хулиана Гримау, д. 27",МУПЭС,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ЭЛЕКТРИЧЕСКИХ СЕТЕЙ,Действующая компания,Муниципальные унитарные предприятия,Муниципальная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до1,5 млрд руб.+4%', 'change': {'value': '+4%', 'tooltip': '1,4 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=понизилась до-401 млн руб.-3%', 'change': {'value': '-3%', 'tooltip': '-392,3 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили720,9 млн руб.', 'change': None}]}",,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 391 443-46-89', '+7 391 443-78-02', '+7 391 442-78-02']","['divn_mupes@mail.ru', 'mupes@mail.ru', 'elseti@mail.ru']","[{'name': 'mupes.ru', 'url': 'http://mupes.ru'}]","[{'code': '35.30', 'text': 'Производство, передача и распределение пара и горячей воды; кондиционирование воздуха', 'href': '/select?code=353000', 'extra_tip': 'Основной'}, {'code': '35.12', 'text': 'Передача электроэнергии и технологическое присоединение к распределительным электросетям', 'href': '/select?code=351200', 'extra_tip': ''}, {'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': ''}, {'code': '35.30.5', 'text': 'Обеспечение работоспособности тепловых сетей', 'href': '/select?code=353050', 'extra_tip': ''}, {'code': '36.00.1', 'text': 'Забор и очистка воды для питьевых и промышленных нужд', 'href': '/select?code=360010', 'extra_tip': ''}, {'code': '36.00.2', 'text': 'Распределение воды для питьевых и промышленных нужд', 'href': '/select?code=360020', 'extra_tip': ''}, {'code': '37.00', 'text': 'Сбор и обработка сточных вод', 'href': '/select?code=370000', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 36', 'href': '/id/1022401253544/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Директор', 'Имя': 'Васильев Игорь Юрьевич', 'Ссылка': '/people/inn/245404066085-vasilyev-igor-yuryevich', 'ИНН': '245404066085'}"
1042401787768,2460062553,246001001,74876067,"660075, Красноярский край, г. Красноярск, ул. Республики, д. 72В","ООО ""КРАСТЭК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСНОЯРСКАЯ ТЕПЛОЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",Действующая компания,Общества с ограниченной ответственностью,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2023 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до2 млрд руб.+14%', 'change': {'value': '+14%', 'tooltip': '1,7 млрд руб. в 2022 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до219,2 млн руб.+78%', 'change': {'value': '+78%', 'tooltip': '123,3 млн руб. в 2022 году'}}, {'name': 'Основные средства', 'value': '=составили831,4 млн руб.', 'change': None}]}",,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 391 274-49-77', '+7 391 257-95-55', '+7 391 243-63-86']","['services@sibgenco.ru', 'krastekdog@mail.ru', 'call-centerstk@sibgenco.ru']","[{'name': 'крастэк.рф', 'url': 'http://крастэк.рф'}, {'name': 'clubber.ru', 'url': 'http://clubber.ru'}]","[{'code': '35.30.1', 'text': 'Производство пара и горячей воды (тепловой энергии)', 'href': '/select?code=353010', 'extra_tip': 'Основной'}, {'code': '35.12', 'text': 'Передача электроэнергии и технологическое присоединение к распределительным электросетям', 'href': '/select?code=351200', 'extra_tip': ''}, {'code': '35.30.14', 'text': 'Производство пара и горячей воды (тепловой энергии) котельными', 'href': '/select?code=353014', 'extra_tip': ''}, {'code': '35.30.2', 'text': 'Передача пара и горячей воды (тепловой энергии)', 'href': '/select?code=353020', 'extra_tip': ''}, {'code': '35.30.3', 'text': 'Распределение пара и горячей воды (тепловой энергии)', 'href': '/select?code=353030', 'extra_tip': ''}, {'code': '35.30.4', 'text': 'Обеспечение работоспособности котельных', 'href': '/select?code=353040', 'extra_tip': ''}, {'code': '35.30.5', 'text': 'Обеспечение работоспособности тепловых сетей', 'href': '/select?code=353050', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 21', 'href': '/id/1042401787768/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Скороходов Алексей Олегович', 'Ссылка': '/people/inn/245000784789-skorohodov-aleksey-olegovich', 'ИНН': '245000784789'}"
1052460054327,2460069527,246001001,76749096,"660021, Красноярский край, г. Красноярск, ул. Бограда, д. 144А","ПАО ""РОССЕТИ СИБИРЬ""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ СИБИРЬ""",Действующая компания,Публичные акционерные общества,Совместная федеральная и иностранная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до77,9 млрд руб.+13%', 'change': {'value': '+13%', 'tooltip': '69,2 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до-696,5 млн руб.+5%', 'change': {'value': '+5%', 'tooltip': '-729 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили74,7 млрд руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили1 млрд руб.', 'change': None}]}",,{'Информация': 'Нет сведений об учредителях'},Не входит в санкционные списки,"['+7 301 234-43-59', '+7 301 234-43-49', '+7 800 220-02-20']","['info@rosseti-sib.ru', 'petukhov_ky@mrsks.ru', 'office@ul.rosseti-sib.ru']","[{'name': 'rosseti-sib.ru', 'url': 'http://rosseti-sib.ru'}, {'name': 'str-k.ru', 'url': 'http://str-k.ru'}]","[{'code': '35.12', 'text': 'Передача электроэнергии и технологическое присоединение к распределительным электросетям', 'href': '/select?code=351200', 'extra_tip': 'Основной'}, {'code': '33.13', 'text': 'Ремонт электронного и оптического оборудования', 'href': '/select?code=331300', 'extra_tip': ''}, {'code': '35.11', 'text': 'Производство электроэнергии', 'href': '/select?code=351100', 'extra_tip': ''}, {'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': ''}, {'code': '35.14', 'text': 'Торговля электроэнергией', 'href': '/select?code=351400', 'extra_tip': ''}, {'code': '35.30.2', 'text': 'Передача пара и горячей воды (тепловой энергии)', 'href': '/select?code=353020', 'extra_tip': ''}, {'code': '41.20', 'text': 'Строительство жилых и нежилых зданий', 'href': '/select?code=412000', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 23', 'href': '/id/1052460054327/activity', 'extra_tip': ''}]","{'Наличие данных': True, 'Контракт': '25649', 'Сумма': '309.9 млрд руб.', 'Заказчик': '292.0 млрд руб.', 'Поставщик': '17.9 млрд руб.'}","{'Должность': 'Генеральный директор пао ""россети сибирь""', 'Имя': 'Дьячков Антон Геннадьевич', 'Ссылка': '/people/inn/381710614091-dyachkov-anton-gennadyevich', 'ИНН': '381710614091'}"
1152468001773,2460087269,246601001,75795891,"660049, Красноярский край, г. о. город Красноярск, г. Красноярск, пр-кт Мира, д. 10, помещ. 55","АО ""КРАСЭКО""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОЯРСКАЯ РЕГИОНАЛЬНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",Действующая компания,Непубличные акционерные общества,Собственность субъектов Российской Федерации,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до10,2 млрд руб.+2%', 'change': {'value': '+2%', 'tooltip': '10,1 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до39,3 млн руб.+84%', 'change': {'value': '+84%', 'tooltip': '21,5 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили12 млрд руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили7,6 млн руб.', 'change': None}]}",,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 391 228-62-07', '+7 931 228-62-07', '+7 391 542-23-71']","['mail@kraseko24.ru', 'mail@kraseco24.ru', 'mail.ru@kraseco.ru']","[{'name': 'kraseco24.ru', 'url': 'https://kraseco24.ru'}]","[{'code': '35.12', 'text': 'Передача электроэнергии и технологическое присоединение к распределительным электросетям', 'href': '/select?code=351200', 'extra_tip': 'Основной'}, {'code': '35.11', 'text': 'Производство электроэнергии', 'href': '/select?code=351100', 'extra_tip': ''}, {'code': '35.11.1', 'text': 'Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций', 'href': '/select?code=351110', 'extra_tip': ''}, {'code': '35.11.4', 'text': 'Производство электроэнергии, получаемой из возобновляемых источников энергии, включая выработанную солнечными, ветровыми, геотермальными электростанциями, в том числе деятельность по обеспечению их работоспособности', 'href': '/select?code=351140', 'extra_tip': ''}, {'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': ''}, {'code': '35.14', 'text': 'Торговля электроэнергией', 'href': '/select?code=351400', 'extra_tip': ''}, {'code': '35.30', 'text': 'Производство, передача и распределение пара и горячей воды; кондиционирование воздуха', 'href': '/select?code=353000', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 55', 'href': '/id/1152468001773/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Чернов Андрей Вениаминович', 'Ссылка': '/people/inn/245504457653-chernov-andrey-veniaminovich', 'ИНН': '245504457653'}"
